Neighbourhood,Postal Code,City
Addington,4001,Durban
Amanzimtoti,4126,Durban
Asherville,4091,Durban
Athena Gardens,4037,Durban
Austerville,4052,Durban
Avondale Road,4001,Durban
Bayhead,4052,Durban
Beach,4001,Durban
Bellair,4094,Durban
Berea,4001,Durban
Berea Road,4001,Durban
Bishopsgate,4001,Durban
Bluff,4052,Durban
Booth Junction,4094,Durban
Botanic Gardens,4001,Durban
Brighton Beach,4052,Durban
Buchanan Park,4001,Durban
Bushlands,4052,Durban
Carrington Heights,4001,Durban
Cato Manor,4091,Durban
Chatsworth,4092,Durban
Clairwood,4052,Durban
Congella,4001,Durban
Dalbridge,4001,Durban
Dormerton,4091,Durban
Durban,4001,Durban
Durban North,4051,Durban
Durmail,4003,Durban
East End,4018,Durban
Esplanade,4001,Durban
Essenwood,4001,Durban
Galeheath,4001,Durban
Glen Anil,4051,Durban
Glenashley,4051,Durban
Glenmore,4001,Durban
Glenwood,4001,Durban
Greenwood Park,4051,Durban
Greyville,4001,Durban
Grosvenor,4052,Durban
Happy Valley,4052,Durban
Hillary,4094,Durban
Hippomere,4091,Durban
Howardene,4001,Durban
Hyper By The Sea,4053,Durban
Inanda,4309,Durban
Isipingo,4133,Durban
Isipingo Beach,4133,Durban
Island View,4052,Durban
Jacobs,4052,Durban
Kenneth Gardens,4001,Durban
Kenville,4051,Durban
King Shaka Int Airport,4407,Durban
Kings Rest,4052,Durban
Kings View,4052,Durban
Kirkwood Gardens,4001,Durban
Kwamashu,4359,Durban
Lamontville,4027,Durban
Laurien Crest,4028,Durban
Lornegrey,4085,Durban
Manor Gardens,4001,Durban
Marble Ray,4037,Durban
Marine Parade,4001,Durban
Marine Terminal,4001,Durban
Marino Heights,4091,Durban
Marlborough Park,4052,Durban
Maydon Wharf,4001,Durban
Mayville,4091,Durban
Merebank,4052,Durban
Merebank Central,4104,Durban
Merewent,4052,Durban
Mobeni,4052,Durban
Mobeni Heights,4092,Durban
Montclair,4004,Durban
Moore Road,4083,Durban
Morningside,4001,Durban
Mount Vernon,4094,Durban
Musgrave,4001,Durban
Musgrave Road,4062,Durban
North Beach,4001,Durban
Northdene,4093,Durban
Northridge Park,4162,Durban
Northway,4051,Durban
Ocean View,4052,Durban
Overport,4091,Durban
Palmiet,4091,Durban
Pavilion,3611,Durban
Phoenix,4068,Durban
Pinetown,3610,Durban
Point,4001,Durban
Puntans Hill,4091,Durban
Qualbert,4078,Durban
Queensburgh,4093,Durban
Randrus,4091,Durban
Red Hill,4051,Durban
Reservoir Hills,4091,Durban
Reservoir Hills New,4148,Durban
Riverhorse Valley East,4017,Durban
Riverhorse Valley Ind Park,4017,Durban
Rochdale Park,4034,Durban
Roseglen,4091,Durban
Rosehill,4051,Durban
Rossburgh,4094,Durban
Scottburgh,4180,Durban
Sea Cow Lake,4051,Durban
Sea View,4094,Durban
Sherwood,4091,Durban
Sihlabelelo,4362,Durban
Snell Parade,4001,Durban
South Beach,4001,Durban
Sparks Est,4091,Durban
Springfield,4091,Durban
Springtown,4091,Durban
Stamford Hill,4001,Durban
Summerfields,4162,Durban
Sydenham,4091,Durban
Tongaat,4399,Durban
Treasure Beach,4052,Durban
Umbilo,4001,Durban
Umbumbulu,4105,Durban
Umgeni,4001,Durban
University Of Kwazulu Natal,4041,Durban
Van Der Walt Park,4052,Durban
Verulam,4339,Durban
Warwick Triangle,4010,Durban
Wentworth,4052,Durban
West Ridge,4091,Durban
West Riding,4091,Durban
Westville,3629,Durban
Windermere,4001,Durban
Windsor Park,4001,Durban
Yellowwood Park,4004,Durban
